"";"SisbenSi_No";"Amazonía";"Bogotá";"Caribe";"De La Paz";"Manizales";"Medellín";"Orinoquía";"Palmira";"Tumaco"
"1";"No";191;20998;45;203;3272;5919;275;1050;215
"2";"Sí";190;11172;74;206;2712;7675;385;2095;320
